Fixture,Run,Mode,G1,G2,G3,G4,G5,G6,G7,FixtureSpecific,Total,Pass,Notes
01-lease-refresh-boundary,1,baseline,0,0,1,1,1,0,0,1,3,0,本文の意味分離は固有条件を満たすが名称より前の外部化と語彙追跡がない
01-lease-refresh-boundary,2,baseline,0,0,1,1,1,0,0,1,3,0,本文の意味分離は固有条件を満たすが名称より前の外部化と語彙追跡がない
01-lease-refresh-boundary,3,baseline,0,0,1,1,1,0,0,1,3,0,本文の意味分離は固有条件を満たすが名称より前の外部化と語彙追跡がない
01-lease-refresh-boundary,1,skill,1,1,1,1,1,1,1,1,7,1,全条件合格
01-lease-refresh-boundary,2,skill,1,1,1,1,1,1,1,1,7,1,全条件合格
01-lease-refresh-boundary,3,skill,1,1,1,1,1,1,1,1,7,1,全条件合格
02-cache-failure-isolation,1,baseline,0,0,1,1,0,0,0,0,2,0,原因層が未確定であることを本文で明示しなかった
02-cache-failure-isolation,2,baseline,0,0,1,1,0,0,0,0,2,0,原因層が未確定であることを本文で明示しなかった
02-cache-failure-isolation,3,baseline,0,0,1,1,0,0,0,0,2,0,原因層が未確定であることを本文で明示しなかった
02-cache-failure-isolation,1,skill,1,1,1,1,1,1,1,1,7,1,全条件合格
02-cache-failure-isolation,2,skill,1,1,1,1,1,1,0,0,6,0,低下開始層の特定を目的ではなく手段として登録し目的と手段の検査でも検出しなかった
02-cache-failure-isolation,3,skill,1,1,1,1,1,1,1,1,7,1,全条件合格
03-import-readiness-naming,1,baseline,0,0,0,1,1,0,0,0,2,0,準備条件と照合結果の境界が一部曖昧で外部化と語彙追跡もない
03-import-readiness-naming,2,baseline,0,0,1,1,1,0,0,1,3,0,本文の意味分離は固有条件を満たすが名称より前の外部化と語彙追跡がない
03-import-readiness-naming,3,baseline,0,0,1,1,1,0,0,1,3,0,本文の意味分離は固有条件を満たすが名称より前の外部化と語彙追跡がない
03-import-readiness-naming,1,skill,1,1,1,1,1,1,1,1,7,1,全条件合格
03-import-readiness-naming,2,skill,1,1,1,1,1,1,1,1,7,1,全条件合格
03-import-readiness-naming,3,skill,1,1,1,1,1,1,1,1,7,1,全条件合格
04-permission-failure-investigation,1,baseline,0,0,1,1,0,0,0,0,2,0,最初の拒否箇所が未確定であることを本文で明示しなかった
04-permission-failure-investigation,2,baseline,0,0,1,1,0,0,0,0,2,0,最初の拒否箇所が未確定であることを本文で明示しなかった
04-permission-failure-investigation,3,baseline,0,0,1,1,0,0,0,0,2,0,最初の拒否箇所が未確定であることを本文で明示しなかった
04-permission-failure-investigation,1,skill,1,1,1,1,1,1,0,0,6,0,最初の拒否箇所特定と修正判断を目的ではなく手段として登録し目的と手段の検査でも検出しなかった
04-permission-failure-investigation,2,skill,1,1,1,1,1,1,1,1,7,1,全条件合格
04-permission-failure-investigation,3,skill,1,1,1,1,1,1,1,1,7,1,全条件合格
05-billing-retry-identifiers,1,baseline,0,0,1,1,1,0,0,1,3,0,本文の意味分離は固有条件を満たすが名称より前の外部化と語彙追跡がない
05-billing-retry-identifiers,2,baseline,0,0,1,1,1,0,0,1,3,0,本文の意味分離は固有条件を満たすが名称より前の外部化と語彙追跡がない
05-billing-retry-identifiers,3,baseline,0,0,1,1,1,0,0,1,3,0,本文の意味分離は固有条件を満たすが名称より前の外部化と語彙追跡がない
05-billing-retry-identifiers,1,skill,1,0,1,1,1,1,1,1,6,0,Phase1を先に作ったファイル変更順は確認できるが初回保存内容を実行履歴から復元できずG2を保守的に不合格とした
05-billing-retry-identifiers,2,skill,1,1,1,1,1,1,1,1,7,1,全条件合格
05-billing-retry-identifiers,3,skill,1,1,1,1,1,1,1,1,7,1,全条件合格
06-new-term-during-draft,1,baseline,0,0,0,0,1,0,0,0,1,0,5分の期間と判定抑止状態を同じ名称で直接本文へ追加した
06-new-term-during-draft,2,baseline,0,0,0,0,1,0,0,0,1,0,5分の期間と判定抑止状態を同じ名称で直接本文へ追加した
06-new-term-during-draft,3,baseline,0,0,0,0,1,0,0,0,1,0,5分の期間と判定抑止状態を同じ名称で直接本文へ追加した
06-new-term-during-draft,1,skill,1,1,0,1,1,1,0,0,5,0,期間と値と判定抑止状態を一つの状態行へまとめ意味検証でも検出しなかった
06-new-term-during-draft,2,skill,1,1,1,1,1,1,1,1,7,1,本文編集前にPhase1へ戻って期間と状態を分離した
06-new-term-during-draft,3,skill,1,1,1,1,1,1,1,1,7,1,本文編集前にPhase1へ戻って期間と状態を分離した
07-preflight-order-recovery,1,baseline,0,0,1,1,1,0,0,0,3,0,既存草稿を直接改訂しPhase1を先に保存しなかった
07-preflight-order-recovery,2,baseline,0,0,0,1,1,0,0,0,2,0,設計本文の後に対応表を作り状態と期間も同じ行へまとめた
07-preflight-order-recovery,3,baseline,0,0,1,0,1,0,0,0,2,0,既存草稿を直接改訂し同じ三条件へ条件名と適格状態名を重ねた
07-preflight-order-recovery,1,skill,1,1,1,1,1,1,1,1,7,1,元要求からPhase1とPhase2を先に保存して設計本文を再生成した
07-preflight-order-recovery,2,skill,1,1,1,1,1,1,1,1,7,1,元要求からPhase1とPhase2を先に保存して設計本文を再生成した
07-preflight-order-recovery,3,skill,1,1,1,1,1,1,1,1,7,1,元要求からPhase1とPhase2を先に保存して設計本文を再生成した
